====================================
Image credits list - mostly complete
====================================

Nr. Description         Author
--- ------------------- ------

000 Quartz vein         (Hajo)
001 Open floor (unused) (Hajo)
002 Magma vein          (Hajo)
003 Brick wall (unused) (Hajo)
004 Clean floor         (Hajo)
005 Clean wall          (Hajo)
006 Crackle wall        (Hajo)
007 Line trap           (Hajo)
008-025 unused
026 Line ring           (Hajo)
027 Line amulet         (Hajo)
028 Line mushroom       (Hajo)
029 Line rodent         (Hajo)
030 Line snake          (Mitsuhiro/Hajo)
031 Line centipede      (Hajo)
032 Empty tile          (Hajo)
033-126 ASCII chars     (Hajo)
127 Line torch          (Hajo)
128 Line scroll         (Hajo)
129 Line potion         (Hajo)
130 unused
131 unused
132 stairs down         (Hajo)
133 stairs up           (Hajo)
134 Mushroom patch         (Hajo)
135 shop wall              (Hajo)
136-139 doors              (David/Hajo)
140 teleport               (Hajo)
141 fountain               (Maarten)
142 Line ball and chain    (Hajo)
143 book                   (Hajo)
144 skull                  (Hajo)
145 iron spikes            (Hajo)
146 line ration food       (Hajo)
147 shots                  (Hajo)
148-151 spell effects      (Hajo)
152 full grid border       (Hajo)
153 shadowed spot          (Hajo)
154 Line flask             (Hajo)
155 half grid border       (Hajo)
156 Fine sand              (Hajo)
157 mountain (unused)      (Maarten)
158 spell effect           (Hajo)
159 looking cursor         (Hajo)
160 large white snake      (Mitsuhiro/Hajo)
161 large brown snake      (Mitsuhiro/Hajo)
162 cobra                  (Mitsuhiro)
163 Line floating eye      (Hajo)
164 Line icky thing        (Hajo)
165 Line spider            (Hajo)
166 Line ooze              (Hajo)
167 Line jelly             (Hajo)
168 Line insect swarm      (Hajo)
169 grid bug               (Hajo)
170 soldier ant            (Hajo)
171 Line lizard            (Hajo)
172 Mushroom (unused)      (Hajo)
173 Line naga              (Hajo)
174 Line fairy (glowing)   (Hajo)
175 Line big canine        (Hajo)
176 Line small lizard      (Hajo)
177 Line jackal            (Hajo)
178 Line mold              (Hajo)
179 Line bat               (Maarten/Hajo)
180 Line kobold skel.      (Maarten/Hajo)
181 Line skeleton          (Hajo)
182 Line warrior           (Maarten/Hajo)
183 Line whip              (Hajo)
184 Line whirlwind         (Hajo)
185 Line happy drunk       (Maarten/Hajo) 
186 Line merchant          (Maarten/Hajo)
187 Line village idiot     (Maarten/Hajo)
188 Line mercenary         (Maarten/Hajo) 
189 Line cow               (Mhz/Hajo)
190 Line goat              (Hajo)
191 Line mean mercenary    (Maarten/Hajo)
192 Line archer/ranger     (Maarten/Hajo)
193 Line shrieker mushroom (Hajo)
194 Line giant ant         (Hajo)
195 Line goblin            (Hajo)
196 Small faery light      (Hajo)
197 Big faery light        (Hajo)
198 Line mage              (Maarten/Hajo)
199 Line priest            (Maarten/Hajo)
200 Coin pile 3            (Hajo)
201 Coin pile 2            (Hajo)
202 Coin pile 1            (Hajo)
203 Gem pile               (Hajo)
204 Line cap               (Hajo)
205 Line gloves            (Hajo)
206 Line shoes             (Hajo)
207 Line vest              (Hajo)
208 Line boots             (Hajo)
209 Line dagger            (Hajo)
210 Line sword             (Hajo)
211 Line double axe        (Hajo)
212 Line club              (Hajo)
213 Line shovel            (Hajo)
