# R:   Spell Book Tval, Spell Stat, Spell Realm, Level of first spell, 
#    Max armour weight that avoids mana penalties, Additional armour
#    weight to eliminate all mana.
#
# M:   Number of spells (max is 64), array (not spell) index of first 
#    spell in each of the nine books, listed by sval.
#
# S:   Index, Lev, Mana, Fail, Exp/Lev, Casting Time Code

# File: p_magic.txt
V:1.1.0

# Warrior
N:0
R:0:0:0:99:0:1
# Zero spells.  Spellbooks contain 0 spells each.
M:0:0:0:0:0:0:0:0:0:0:0:0


# Mage
N:1
R:90:1:1:1:250:600
# 59 spells in nine books.
M:59:0:9:18:26:33:38:43:48:53:59:59 

# Magic for Beginners (sval 0)

S:0:1:1:22:2:0	# Magic Missile
S:1:1:1:23:2:0	# Detect Monsters
S:2:2:1:24:2:0	# Phase Door
S:3:3:2:25:2:0	# Light Area
S:4:3:1:25:2:0	# Combat Poison
S:5:4:2:25:3:0	# Cure Light Wounds
S:69:5:3:25:3:0	# Find Traps
S:70:5:3:25:3:0	# Detect Doors/Stairs
S:8:6:3:27:4:0	# Stinking Cloud

# Conjurings and Tricks (sval 1)

S:9:7:3:30:5:0	# Confuse Monster
S:10:7:3:30:6:0	# Lightning Bolt
S:11:9:3:30:6:0	# Door Destruction
S:12:9:4:30:6:0	# Sleep Monster
S:13:11:5:35:6:0	# Cure Poison
S:14:11:5:35:6:0	# Teleport Self
S:15:12:5:30:7:0	# Spear of Light
S:16:13:5:40:9:0	# Recharge Item I
S:17:13:5:44:7:0	# Cone of Cold

# Incantations and Illusions (sval 2)

S:18:14:8:45:7:0	# Satisfy Hunger
S:19:15:7:45:7:0	# Magic Disarm
S:20:15:7:45:7:0	# Polymorph Other
S:21:17:12:75:8:0	# Identify
S:22:17:7:50:8:0	# Sleep Monsters
S:23:19:7:50:8:0	# Fire Bolt
S:24:19:7:50:8:0	# Slow Monster
S:25:20:2:50:8:0	# Tap magical energy

# Sorcery and Evocations (sval 3)

S:26:22:12:75:9:0	# Frost Ball
S:27:23:10:75:11:0	# Recharge Item II
S:28:25:12:60:11:0	# Teleport Other
S:29:25:12:65:11:0	# Haste Self
S:30:29:16:65:12:0	# Fire Ball
S:31:35:30:80:15:0	# Hold Monsters
S:32:37:30:80:15:0	# Word of Destruction

# Resistance of Scarabtarices (sval 4)

S:33:21:5:50:20:0	# Resist Fire
S:34:21:5:50:20:0	# Resist Cold
S:35:21:5:50:20:0	# Resist Acid
S:36:27:11:75:30:0	# Resist Poison
S:37:35:22:85:50:0	# Resistance

# Mordenkainen's Escapes (sval 5)

S:38:12:4:20:16:0	# Door Creation
S:39:16:8:40:20:0	# Stair Creation
S:40:20:11:60:20:0	# Teleport Level
S:41:25:15:60:25:0	# Word of Recall
S:42:43:20:65:75:0	# Dimension Door

# Kelek's Grimoire of Power (sval 6)

S:43:5:2:50:10:0	# Detect Evil
S:44:15:6:70:12:0	# Detect Enchantment
S:45:25:10:85:20:0	# Earthquake
S:46:35:25:65:50:0	# Beguiling
S:47:37:21:70:55:0	# Starburst

# Tenser's transformations... (sval 7)

S:48:18:0:50:22:0	# Clear Mind
S:49:30:8:75:30:0	# Shield
S:50:38:15:85:50:0	# Recharge Item III
