Spoiler File -- Basic Items (ZAngband 2.2.3)


Description                                         Dam/AC    Wgt  Lev     Cost
----------------------------------------            ------    ---  ---     ----


Ammo

     Rounded Pebble                                    1d2    0.4    0        1
     Arrow                                             1d4    0.2    3        1
     Flight Arrow                                      1d3    0.1    3        1
     Iron Shot                                         1d3    0.5    3        2
     Bolt                                              1d5    0.3    3        2
     Sheaf Arrow                                       1d5    0.4   10        3
     Mithril Shot                                      4d3    0.5   25       15
     Seeker Arrow                                      4d4    0.2   55       20
     Seeker Bolt                                       4d5    0.3   65       25


Bows

     Sling                                                    0.5    1        5
     Short Bow                                                3.0    3       50
     Long Bow                                                 4.0   10      120
     Light Crossbow                                          11.0   15      140
     Heavy Crossbow                                          20.0   30      300


Weapons

     Broken Dagger                                     1d1    0.5    0        1
     Broken Sword                                      1d2    3.0    0        2
     Club                                              1d4   10.0    0        3
     Dagger                                            1d4    1.2    0       10
     Shovel                                            1d2    6.0    1       10
     Main Gauche                                       1d5    3.0    3       25
     Tanto                                             1d5    2.0    3       30
     Whip                                              1d6    3.0    3       30
     Spear                                             1d6    5.0    5       36
     Rapier                                            1d6    4.0    5       42
     Small Sword                                       1d6    7.5    5       48
     Sabre                                             1d7    5.0    5       50
     Pick                                              1d3   15.0    5       50
     Cutlass                                           1d7   11.0    5       85
     Short Sword                                       1d7    8.0    5       90
     Gnomish Shovel                                    1d2    6.0   20      100
     Sickle                                            2d3    7.0   10      110
     Trident                                           1d8    7.0    5      120
     Hatchet                                           1d5    6.0   10      120
     Nunchaku                                          2d3    6.0   16      120
     Mace                                              2d4   12.0    5      130
     Khopesh                                           2d4   13.0   10      190
     Tulwar                                            2d4   10.0    5      200
     Quarterstaff                                      1d9   15.0   10      200
     Jo Staff                                          1d7    7.0   11      200
     Ball-and-Chain                                    2d4   15.0   20      200
     Dwarven Shovel                                    1d3   12.0   40      200
     Wakizashi                                         2d4    9.0   15      210
     Basillard                                         1d8    8.0   15      220
     War Hammer                                        3d3   12.0    5      225
     Lance                                             2d8   30.0   10      230
     Broad Spear                                       1d9   10.0   14      240
     Scimitar                                          2d5   13.0   10      250
     Broad Sword                                       2d5   15.0   10      255
     Ninjato                                           1d9   10.0   15      265
     Long Sword                                        2d5   13.0   10      300
     Orcish Pick                                       1d3   15.0   30      300
     Fauchard                                         1d10   15.5   18      301
     Broad Axe                                         2d6   16.0   15      304
     Bo Staff                                         1d11   16.0   20      310
     Guisarme                                          2d5   16.5   21      320
     Lajatang                                          2d7   17.5   25      330
     Battle Axe                                        2d8   17.0   15      334
     Awl-Pike                                          1d8   16.0   10      340
     Bastard Sword                                     3d4   14.0   15      350
     Three Piece Rod                                   3d3   12.0   20      350
     Great Hammer                                      4d6   30.0   45      350
     Flail                                             2d6   15.0   10      353
     Pike                                              2d5   16.0   15      358
     Glaive                                            2d6   19.0   20      363
     Lucerne Hammer                                    2d5   12.0   10      376
     Morning Star                                      2d6   15.0   10      396
     Katana                                            3d4   12.0   20      400
     Trifurcate Spear                                  2d9   14.0   35      400
     Beaked Axe                                        2d6   18.0   15      408
     Naginata                                          2d6   15.0   25      408
     Halberd                                           3d5   19.0   25      430
