HIGH MAGE SPELLS -- Requirements, costs, and failures

Life High Mage:           Level  Mana  Fail

Detect Evil               1      1     20
Cure Light Wounds         2      2     25
Bless                     3      3     25
Remove Fear               4      4     25
Call Light                5      5     25
Detect Traps/Doors        6      5     30
Cure Medium Wounds        9      9     30
Satisfy Hunger            12     10    35
Remove Curse              14     12    35
Cure Poison               15     14    40
Cure Critical Wounds      15     15    40
Sense Unseen              17     15    40
Holy Orb                  19     17    40
Protection from Evil      21     19    40
Healing                   25     25    45
Glyph of Warding          30     50    55
Exorcism                  20     20    40
Dispel Curse              24     24    60
Dispel Undead+Demons      30     30    50
Day of the Dove           31     30    50
Dispel Evil               32     30    60
Banishment                33     40    60
Holy Word                 35     35    60
Warding True              40     70    70
Heroism                   5      5     40
Prayer                    20     20    40
Bless Weapon              30     70    60
Restoration               40     80    60
Healing True              42     75    60
Holy Vision               45     40    60
Divine Intervention       47     90    70
Holy Invulnerability      49     90    70

Sorcery High Mage:        Level  Mana  Fail

Detect Monsters           1      1     15
Phase Door                1      1     15
Detect Doors+Traps        2      2     15
Light Area                2      2     20
Confuse Monster           3      3     20
Teleport Self             4      3     25
Sleep Monster             5      4     20
Recharging                5      5     65
Magic Mapping             7      5     65
Identify                  7      5     65
Slow Monster              9      5     65
Mass Sleep                9      5     40
Teleport Away             13     8     50
Haste Self                17     10    50
Detection True            24     15    60
Identify True             28     20    65
Detect Objects+Treasure   2      2     20
Detect Enchantment        7      7     60
Charm Monster             8      8     70
Dimension Door            9      9     70
Sense Minds               12     9     50
Self Knowledge            15     12    65
Teleport Level            17     12    50
Word of Recall            20     20    65
Stasis                    8      8     30
Telekinesis               20     20    65
Explosive Rune            20     25    85
Clairvoyance              25     30    70
*Enchant Weapon*          30     65    85
*Enchant Armor*           35     80    85
Alchemy                   40     40    80
Globe of Invulnerability  42     65    65

Nature High Mage:         Level  Mana  Fail

Detect Creatures          1      1     15
First Aid                 2      1     15
Detect Doors+Traps        2      2     15
Produce Food              3      2     25
Daylight                  3      3     40
Animal Taming             4      3     40
Resist Environment        4      4     40
Cure Wounds+Poison        5      4     25
Stone to Mud              5      4     30
Lightning Bolt            5      4     20
Nature Awareness          5      5     35
Frost Bolt                5      5     30
Ray of Sunlight           7      5     30
Entangle                  14     10    35
Summon Animals            20     20    80
Herbal Healing            35     80    85
Door Building             5      5     10
Stair Building            7      7     20
Stone Skin                8      8     65
Resistance True           12     15    75
Animal Friendship         25     25    80
Stone Tell                33     35    80
Wall of Stone             35     40    65
