MAGE SPELLS -- Requirements, costs, and failures

For every level beyond the minimum, the failure rate decreases by 3%.
High INT or WIS will also decrease the failure rate.

Life Mage:           Level  Mana  Fail

Detect Evil          1      1     30
Cure Light Wounds    3      2     35
Bless                4      3     35
Remove Fear          5      5     35
Call Light           7      7     35
Detect Traps/Doors   9      8     40
Cure Medium Wounds   12     12    40
Satisfy Hunger       15     14    45
Remove Curse         16     16    45
Cure Poison          17     17    50
Cure Critical Wounds 18     18    50
Sense Unseen         19     19    50
Holy Orb             20     20    50
Protection from Evil 23     23    50
Healing              30     30    55
Glyph of Warding     35     70    75
Exorcism             26     30    50
Dispel Curse         28     25    70
Dispel Undead+Demons 33     33    60
Day of the Dove      35     35    60
Dispel Evil          35     35    70
Banishment           35     55    80
Holy Word            39     40    80
Warding True         46     70    80
Heroism               9      9    50
Prayer               25     25    50
Bless Weapon         35     85    80
Restoration          42    100    80
Healing True         45     90    80
Holy Vision          48     50    80
Divine Intervention  49    100    80
Holy Invulnerability 50    100    80

Sorcery Mage:          Level   Mana Fail

Detect Monsters        1       1    23
Phase Door             1       2    24
Detect Doors+Traps     3       3    25
Light Area             3       3    30
Confuse Monster        4       4    30
Teleport Self          5       5    35
Sleep Monster          6       5    30
Recharging             7       7    75
Magic Mapping          9       7    75
Identify               10      7    75
Slow Monster           11      7    75
Mass Sleep             13      7    50
Teleport Away          18      12   60
Haste Self             22      12   60
Detection True         28      20   70
Identify True          33      30   75
Detect Objects+Treasure 3      3    25
Detect Enchantment     10      10   70
Charm Monster          10      10   80
Dimension Door         12      12   80
Sense Minds            14      10   60
Self Knowledge         20      18   85
Teleport Level         20      18   60
Word of Recall         25      25   75
Stasis                 10      10   40
Telekinesis            25      25   75
Explosive Rune         25      30   95
Clairvoyance           30      40   80
*Enchant Weapon*       40      80   95
*Enchant Armor*        40      100  95
Alchemy                42      50   90
Globe of Invuln.       45      70   75

Nature Mage:           Level  Mana  Fail

Detect Creatures       1      1     23
First Aid              3      3     25
Detect Doors+Traps     3      3     25
Produce Food           4      4     35
Daylight               4      4     50
Animal Taming          4      5     50
Resist Environment     5      5     50
Cure Wounds+Poison     5      5     35
Stone to Mud           5      5     35
Lightning Bolt         5      5     40
Nature Awareness       5      5     30
Frost Bolt             7      6     40
Ray of Sunlight        9      6     30
Entangle               19     12    55
Summon Animals         25     25    90
