MONK SPELLS -- Requirements, costs, and failures

Failure rate decreases 3% with each level beyond the minimum,
to a minimum of 5%.  High WIS will also decrease the failure rate.

Life Monk:                Level  Mana  Fail

Detect Evil               1      1     30
Cure Light Wounds         2      2     35
Bless                     3      3     35
Remove Fear               4      4     35
Call Light                5      5     35
Detect Traps/Doors        8      6     40
Cure Medium Wounds        11     10    40
Satisfy Hunger            13     12    45
Remove Curse              15     12    45
Cure Poison               16     15    50
Cure Critical Wounds      17     15    50
Sense Unseen              18     16    50
Holy Orb                  19     16    50
Protection from Evil      20     18    50
Healing                   30     25    55
Glyph of Warding          35     70    75
Exorcism                  26     26    50
Dispel Curse              28     28    70
Dispel Undead+Demons      32     32    60
Day of the Dove           36     35    60
Dispel Evil               38     35    70
Banishment                40     60    80
Holy Word                 45     45    80
Warding True              48     64    80
Heroism                   10     10    50
Prayer                    25     25    50
Bless Weapon              40     65    80
Restoration               44     84    80
Healing True              46     64    80
Holy Vision               48     40    80
Divine Intervention       49     100   90
Holy Invulnerability      50     100   80


Nature Monk:              Level  Mana  Fail

Detect Creatures          1      1     35
First Aid                 3      3     40
Detect Doors+Traps        4      4     40
Produce Food              7      7     55
Daylight                  7      7     50
Animal Taming             7      7     50
Resist Environment        8      8     50
Cure Wounds+Poison        9      9     45
Stone to Mud              10     8     80
Lightning Bolt            11     9     40
Nature Awareness          12     10    40
Frost Bolt                14     12    55
Ray of Sunlight           16     12    55
Entangle                  18     22    65
Summon Animals            31     31    75
Herbal Healing            40     100   95
Door Building             12     12    50
Stair Building            14     14    50
Stone Skin                16     16    70
Resistance True           22     30    85
Animal Friendship         35     35    80
Stone Tell                40     40    90
Wall of Stone             45     55    85
Protection from Corrosion 50     80    90
Earthquake                28     28    60
Whirlwind Attack          30     30    60
Blizzard                  35     50    75
Lightning Storm           33     33    75
Whirlpool                 38     38    75
Call Sunlight             42     40    75
Elemental Brand           45     85    95
Nature's Wrath            48     85    75


Death Monk:               Level  Mana  Fail

Detect Unlife             1      1     25
Malediction               2      2     25
Detect Evil               3      3     25
Stinking Cloud            5      5     27
Black Sleep               7      7     30
Resist Poison             11     11    75
Horrify                   12     12    30
Enslave the Undead        16     16    40
Orb of Entropy            19     19    30
Nether Bolt               22     22    50
Terror                    25     25    60
Vampiric Drain            40     40    60
Poison Brand              33     80    90
Dispel Good               40     40    60
Genocide                  45     45    95
Restore Life              50     60    95
Berserk                   15     20    80
Invoke Spirits            16     16    80
Dark Bolt                 18     18    30
Battle Frenzy             35     35    75
Vampirism True            40     40    60
Vampiric Branding         42     95    70
Darkness Storm            48     50    80
Mass Genocide             49     80    80
Death Ray                 30     30    75
Raise the Dead            37     85    85
Esoteria                  38     50    95
Word of Death             44     44    70
Evocation                 46     50    80
Hellfire                  50     140   95
Ommnicide                 50     100   95
Wraithform                50     115   95



