RANGER SPELLS -- Requirements, costs, and failures

The failure rate decreases 3% for every level beyond the minimum,
to a minimum of 5%.  High INT decreases the failure rate as well.

Sorcery Ranger:           Level  Mana  Fail

Detect Monsters           3      2     35
Phase Door                3      3     35
Detect Doors+Traps        5      4     40
Light Area                7      4     40
Confuse Monster           9      6     40
Teleport Self             11     8     45
Sleep Monster             13     8     40
Recharging                17     17    90
Magic Mapping             20     19    85
Identify                  23     25    90
Slow Monster              25     25    60
Mass Sleep                27     25    85
Teleport Away             31     27    70
Haste Self                34     35    70
Detection True            38     37    70
Identify True             42     40    90
Detect Objects+Treasure   15     7     75
Detect Enchantment        15     20    70
Charm Monster             17     17    70
Dimension Door            18     18    80
Sense Minds               19     25    65
Self Knowledge            23     25    60
Teleport Level            27     27    60
Word of Recall            35     35    75
Stasis                    20     20    45
Telekinesis               27     27    70
Explosive Rune            37     60    95
Clairvoyance              40     40    95
*Enchant Weapon*          45     80    95
*Enchant Armor*           45     100   95
Alchemy                   50     50    90
Globe of Invulnerability  XXXXXXXX

Nature Ranger:            Level  Mana  Fail

Detect Creatures          3      1     35
First Aid                 4      3     40
Detect Doors+Traps        4      4     40
Produce Food              5      7     55
Daylight                  6      7     50
Animal Taming             7      7     50
Resist Environment        8      7     50
Cure Wounds+Poison        9      7     45
Stone to Mud              9      7     80
Lightning Bolt            10     7     40
Nature Awareness          11     9     40
Frost Bolt                12     9     55
Ray of Sunlight           14     9     55
Entangle                  18     20    65
Summon Animals            23     23    65
Herbal Healing            40     100   95
Door Building             10     10    50
Stair Building            12     12    50
Stone Skin                14     15    70
Resistance True           20     30    85
Animal Friendship         35     30    80
Stone Tell                38     40    90
Wall of Stone             40     55    90
Protection from Corrosion 42     80    90
Earthquake                25     28    60
Whirlwind Attack          26     26    60
Blizzard                  30     35    75
Lightning Storm           32     29    75
Whirlpool                 36     33    75
Call Sunlight             40     35    75
Elemental Brand           41     80    95
Nature's Wrath            42     80    75

Chaos Ranger:             Level  Mana  Fail

Magic Missile             3      1     20
Trap/Door Destruction     3      3     35
Flash of Light            5      3     35
Touch of Confusion        7      5     45
Manaburst                 14     12    40
Fire Bolt                 20     16    50
Fist of Force             25     21    60
Teleport Self             25     22    60
Wonder                    27     23    60
Chaos Bolt                30     25    60
Sonic Boom                33     30    70
Doom Bolt                 35     31    70
Fire Ball                 37     35    75
Teleport Other            39     29    65
Word of Destruction       43     30    95
Invoke Logrus             48     50    85
Polymorph Other           22     20    60
Chain Lightning           25     25    70
Charging                  28     25    80
Disintegration            35     32    70
Alter Reality             38     35    85
Polymorph Self            42     75    95
Chaos Branding            48     100   90
Summon Demon              XXXXXXXX
Gravity Beam              33     33    66
Meteor Swarm              40     45    85
Flame Strike              42     42    75
Call Chaos                48     48    85
Magic Rocket              50     50    90
Mana Storm                XXXXXXXX
Breathe Logrus            XXXXXXXX
Call the Void             XXXXXXXX

Death Ranger:             Level  Mana  Fail

Detect Unlife             5      2     40
Malediction               5      3     40
Detect Evil               7      4     50
Stinking Cloud            9      5     40
Black Sleep               11     8     40
Resist Poison             17     25    75
Horrify                   19     19    50
Enslave the Undead        22     22    50
Orb of Entropy            24     24    55
Nether Bolt               26     26    50
Terror                    28     28    75
Vampiric Drain            30     30    80
Poison Brand              40     80    95
Dispel Good               45     40    60
Genocide                  XXXXXXXX
Restore Life              XXXXXXXX
Berserk                   25     30    80
Invoke Spirits            25     25    80
Dark Bolt                 27     27    40
Battle Frenzy             39     39    76
Vampirism True            45     45    80
Vampiric Branding         42     100   70
Darkness Storm            XXXXXXXX
Mass Genocide             XXXXXXXX
Death Ray                 35     35    75
Raise the Dead            38     90    80
Esoteria                  40     45    95
Word of Death             48     50    95
Evocation                 50     50    90
Hellfire                  XXXXXXXX
Ommnicide                 XXXXXXXX
Wraithform                XXXXXXXX

Trump Ranger:             Level  Mana  Fail

Phase Door                3      1     50
Mind Blast                6      6     50
Shuffle                   9      7     75
Reset Recall              10     8     80
Teleport Self             13     10    40
Dimension Door            17     15    60
Trump Spying              20     17    60
Teleport Away             22     20    60
Trump Object              24     22    80
Trump Animal              28     25    60
Phantasmal Servant        33     26    60
Trump Monster             36     32    70
Conjure Elemental         38     33    80
Teleport Level            42     38    70
Word of Recall            45     42    80
Banish                    XXXXXXXX
Joker Card                20     20    80
Trump Spiders             28     26    70
Trump Reptiles            31     30    70
Trump Hounds              36     33    70
Trump Branding            41     80    80
Living Trump              44     120   90
Death Dealing             XXXXXXXX
